Dataset,0 states,10 states,25 states,50 states,75 states,100 states,
OR5x100-0.75_10 SAM-0.1,7375695,81415338,192046757,375374047,560372708,745348790,
OR5x100-0.75_10 SAM-0.2,7375695,81499680,191909362,378791503,563233664,748407108,
OR5x100-0.75_2 SAM-0.01,7635963,83993747,198480947,389131009,579488171,769644035,
OR5x100-0.75_2 SAM-0.02,7635963,83913035,198905901,390687250,582726970,775776001,
OR5x100-0.75_2 SAM-0.05,7635963,84112437,199460677,390800089,581472632,773764651,
OR5x100-0.75_2 SAM-0.1,7635963,84149416,198440588,392798986,591432006,791053001,
OR5x100-0.75_2 SAM-0.2,7635963,84067017,201954010,404082495,603482198,802947349,
OR5x100-0.75_3 SAM-0.01,7355646,81002750,191602781,375759688,559836087,744213961,
OR5x100-0.75_3 SAM-0.02,7355646,80924339,191690753,376754554,562620982,749018538,
OR5x100-0.75_3 SAM-0.05,7355646,81102687,192207488,377666667,565177660,753986556,
OR5x100-0.75_3 SAM-0.1,7355646,81069169,189729953,373391944,558383780,744505283,
OR5x100-0.75_3 SAM-0.2,7355646,78729264,185528295,362499211,539881304,715062396,
OR5x100-0.75_4 SAM-0.01,7438917,81844437,193672066,380023226,566671963,753206508,
OR5x100-0.75_4 SAM-0.02,7438917,81804827,193857202,380141306,565770666,750066300,
OR5x100-0.75_4 SAM-0.05,7438917,81749808,193233433,378618406,561007587,741918678,
OR5x100-0.75_4 SAM-0.1,7438917,81545736,193671369,377074401,563008970,754928488,
OR5x100-0.75_4 SAM-0.2,7438917,79680102,186025817,355892959,523523690,697170906,
OR5x100-0.75_5 SAM-0.01,7514193,82849844,195778668,383757758,571842743,759405798,
OR5x100-0.75_5 SAM-0.02,7514193,82807680,195719515,382480677,568512963,754055813,
OR5x100-0.75_5 SAM-0.05,7514193,82366465,195547036,382489764,569197507,755940834,
OR5x100-0.75_5 SAM-0.1,7514193,82287361,192799448,373635556,559753788,746825286,
OR5x100-0.75_5 SAM-0.2,7514193,83752217,203236071,394887174,578377246,766659411,
OR5x100-0.75_6 SAM-0.01,7251957,79770684,188700201,370502085,552054783,733144968,
OR5x100-0.75_6 SAM-0.02,7251957,79642816,188570422,370791104,553267275,735423632,
OR5x100-0.75_6 SAM-0.05,7251957,80081937,189997123,371807285,552152247,731290834,
OR5x100-0.75_6 SAM-0.1,7251957,78380794,187854762,370685715,552496230,732992740,
OR5x100-0.75_6 SAM-0.2,7251957,76898756,180635804,347650416,518640385,694686120,
